City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
2,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
5,Atuona,PF,77.49,broken clouds,-9.8,-139.0333,Villa Enata
7,Butaritari,KI,83.61,few clouds,3.0707,172.7902,Isles Sunset Lodge
8,Hithadhoo,MV,82.47,overcast clouds,-0.6,73.0833,Scoop Guest House
13,Bubaque,GW,81.54,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
14,Freeport,US,77.2,broken clouds,40.6576,-73.5832,The Freeport Inn and Marina
17,Puerto Escondido,MX,85.87,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
21,Hambantota,LK,79.68,broken clouds,6.1241,81.1185,Bungalow 63
25,Victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
28,Ixtapa,MX,88.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
30,Westport,US,76.28,broken clouds,41.1415,-73.3579,The Westport Inn
37,Kavieng,PG,82.13,few clouds,-2.5744,150.7967,Nusa Island Retreat
38,San Patricio,US,88.52,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
40,Fare,PF,76.53,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
44,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
48,Nicoya,CR,85.55,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
53,Rudbar,AF,81.73,clear sky,30.15,62.6,
54,Lompoc,US,80.22,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
69,Castro,BR,76.95,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
71,Eureka,US,85.68,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
74,La Orilla,MX,84.69,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
77,Santiago Del Estero,AR,82.8,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
