City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,73.94,80,100,22.59,overcast clouds
1,Kapaa,US,22.0752,-159.319,82.38,74,90,4.0,overcast clouds
2,Hilo,US,19.7297,-155.09,80.33,69,20,4.61,few clouds
3,Waipawa,NZ,-41.4122,175.5153,53.46,68,0,14.83,clear sky
4,Airai,TL,-8.9266,125.4092,56.84,83,34,1.77,scattered clouds
5,Atuona,PF,-9.8,-139.0333,77.49,78,52,18.14,broken clouds
6,Birin,NP,26.8865,88.0718,62.56,85,12,4.83,few clouds
7,Butaritari,KI,3.0707,172.7902,83.61,74,13,14.07,few clouds
8,Hithadhoo,MV,-0.6,73.0833,82.47,69,100,14.61,overcast clouds
9,Rocha,UY,-34.4833,-54.3333,58.46,85,60,11.32,broken clouds
10,Kysyl-Syr,RU,63.8986,122.7617,33.17,86,18,5.91,few clouds
11,Kodiak,US,57.79,-152.4072,47.71,34,1,8.05,volcanic ash
12,Verkhoyansk,RU,67.5447,133.385,38.79,77,100,4.54,overcast clouds
13,Bubaque,GW,11.2833,-15.8333,81.54,75,21,5.06,few clouds
14,Freeport,US,40.6576,-73.5832,77.2,51,75,10.0,broken clouds
15,Qaanaaq,GL,77.484,-69.3632,15.87,70,26,7.05,scattered clouds
16,Bluff,NZ,-46.6,168.3333,50.81,66,41,19.91,scattered clouds
17,Puerto Escondido,MX,15.85,-97.0667,85.87,68,100,6.55,overcast clouds
18,Vysokogornyy,RU,50.1167,139.15,37.35,92,24,2.51,few clouds
19,Japura,ID,-0.3167,102.35,73.62,98,95,1.77,overcast clouds
20,Marystown,CA,47.1666,-55.1483,55.09,64,20,11.92,few clouds
21,Hambantota,LK,6.1241,81.1185,79.68,82,74,17.54,broken clouds
22,Cape Town,ZA,-33.9258,18.4232,58.12,79,0,8.05,clear sky
23,Khatanga,RU,71.9667,102.5,30.24,91,69,6.26,broken clouds
24,Ostrowiec Swietokrzyski,PL,50.9294,21.3853,54.1,65,21,10.83,few clouds
25,Victoria,HK,22.2855,114.1577,85.32,82,14,3.0,light rain
26,Barrow,US,71.2906,-156.7887,24.82,100,90,3.44,mist
27,Jamestown,US,42.097,-79.2353,69.03,50,20,13.0,few clouds
28,Ixtapa,MX,20.7,-105.2,88.23,70,89,5.01,overcast clouds
29,Khandyga,RU,62.6667,135.6,43.0,90,98,4.79,overcast clouds
30,Westport,US,41.1415,-73.3579,76.28,60,75,1.01,broken clouds
31,Ornskoldsvik,SE,63.2909,18.7153,45.55,100,90,3.44,overcast clouds
